"ALIASNAME";"Höhe ü NN";"Breite";"Länge";"nieder";"Breite";"Lange"
"LOHMEN";50;"53°41'";"12°05'";578.6;53.68;12.08
"LOHNDE";51;"52°24'";"09°33'";630.7;52.4;9.55
"LOHR/M.-RUPPERTSHUETTEN";370;"50°04'";"09°32'";1087.5;50.07;9.53
"LOHR/M.-STEINBACH";161;"50°00'";"09°36'";795.9;50;9.6
"LOHSA";125;"51°23'";"14°24'";643.5;51.38;14.4
"LOICHING";416;"48°36'";"12°24'";787.6;48.6;12.4
"LONNEWITZ";130;"51°17'";"13°08'";558.8;51.28;13.13
"LONSEE-ETTLENSCHIESS";665;"48°33'";"09°55'";900.0;48.55;9.92
"LOOPE";110;"50°58'";"07°22'";1199.0;50.97;7.37
"LORCH,KR.OSTALB-WALDHSN.";296;"48°47'";"09°38'";963.5;48.78;9.63
"LORCH/RHEIN";100;"50°02'";"07°49'";608.1;50.03;7.82
"LOSHEIM";275;"49°30'";"06°47'";917.5;49.5;6.78
"LOSSA";300;"51°13'";"11°25'";582.3;51.22;11.42
"LOSSBURG";662;"48°24'";"08°27'";1510.6;48.4;8.45
"LOSTAU";45;"52°12'";"11°44'";475.2;52.2;11.73
"LUCKAU";63;"51°51'";"13°42'";515.3;51.85;13.7
"LUCKENWALDE";50;"52°04'";"13°10'";526.1;52.07;13.17
"LUDWAG";540;"49°57'";"11°05'";809.9;49.95;11.08
"LUDWIGSAU-MECKLAR";200;"50°55'";"09°46'";714.2;50.92;9.77
"LUDWIGSAU-NIEDERTHALHAUS";290;"50°56'";"09°38'";729.3;50.93;9.63
"LUDWIGSBURG (A)";289;"48°54'";"09°11'";762.1;48.9;9.18
"LUDWIGSBURG/BRANDENBURG";42;"53°21'";"13°58'";495.6;53.35;13.97
"LUDWIGSCHORGAST";336;"50°07'";"11°33'";784.2;50.12;11.55
"LUDWIGSHAFEN-OGGERSHEIM";97;"49°28'";"08°21'";536.5;49.47;8.35
"LUDWIGSLUST";33;"53°20'";"11°29'";647.3;53.33;11.48
"LUDWIGSSTADT-LAUENSTEIN";509;"50°30'";"11°22'";841.9;50.5;11.37
"LUEBBECKE";55;"52°19'";"08°37'";652.9;52.32;8.62
"LUEBECK-BLANKENSEE(AWST)";5;"53°48'";"10°42'";685.5;53.8;10.7
"LUEBECK-DORNBREITE";20;"53°52'";"10°39'";636.7;53.87;10.65
"LUEBECK-WERFT";5;"53°53'";"10°42'";664.1;53.88;10.7
"LUEBLOW";37;"53°25'";"11°27'";601.3;53.42;11.45
"LUEBSTORF";55;"53°43'";"11°25'";621.9;53.72;11.42
"LUEBTHEEN";17;"53°17'";"11°05'";627.3;53.28;11.08
"LUEBZ";57;"53°27'";"12°02'";587.6;53.45;12.03
"LUECHOW (AWST)";17;"52°58'";"11°08'";545.2;52.97;11.13
"LUEDELSEN";70;"52°41'";"10°56'";577.1;52.68;10.93
"LUEDENSCHEID";444;"51°12'";"07°38'";1213.5;51.2;7.63
"LUEDINGHAUSEN";58;"51°46'";"07°24'";808.4;51.77;7.4
"LUENEBACH";375;"50°08'";"06°21'";835.1;50.13;6.35
"LUENEBURG";11;"53°16'";"10°25'";611.8;53.27;10.42
"LUENEN";52;"51°37'";"07°32'";808.7;51.62;7.53
"LUETAU";27;"53°26'";"10°33'";703.6;53.43;10.55
"LUETJENBURG";22;"54°17'";"10°35'";629.3;54.28;10.58
"LUETZELBACH-BREITENBRUNN";274;"49°45'";"09°04'";787.7;49.75;9.07
"LUETZEN";122;"51°15'";"12°08'";537.9;51.25;12.13
"LUHE-WILDENAU-NEUMAIERH.";425;"49°35'";"12°05'";662.6;49.58;12.08
"LUISENTHAL";428;"50°48'";"10°44'";819.1;50.8;10.73
"LUISENTHAL (TALSP.)";528;"50°46'";"10°43'";903.9;50.77;10.72
"LUNOW";7;"52°55'";"14°07'";529.5;52.92;14.12
"LUPBURG-DEGERNDORF";450;"49°10'";"11°44'";760.9;49.17;11.73
"LUTTER AM BARENBERGE";153;"51°59'";"10°15'";690.3;51.98;10.25
"MACHERN";148;"51°21'";"12°38'";609.6;51.35;12.63
"MAEHRING";676;"49°54'";"12°31'";793.0;49.9;12.52
"MAEHRING-GRIESBACH";720;"49°52'";"12°28'";865.3;49.87;12.47
"MAERKISCH-BUCHHOLZ";42;"52°06'";"13°45'";479.9;52.1;13.75
"MAERTENSMUEHLE";40;"52°09'";"13°11'";505.7;52.15;13.18
"MAGDALA";275;"50°54'";"11°26'";568.9;50.9;11.43
"MAGDEBURG (WEWA)";76;"52°06'";"11°35'";494.0;52.1;11.58
"MAGDEBURG-BUCKAU";46;"52°06'";"11°39'";457.5;52.1;11.65
"MAIERHOEFEN";745;"47°38'";"10°02'";1753.5;47.63;10.03
"MAINHARDT-ZIEGELBRONN";473;"49°03'";"09°34'";1043.3;49.05;9.57
"MAINHAUSEN-ZELLHAUSEN";126;"50°00'";"08°58'";687.0;50;8.97
"MAINZ";125;"49°59'";"08°15'";613.2;49.98;8.25
"MAISACH-ROTTBACH";512;"48°15'";"11°14'";840.1;48.25;11.23
"MALCHIN";20;"53°43'";"12°45'";544.7;53.72;12.75
"MALCHOW";70;"53°28'";"12°25'";584.0;53.47;12.42
"MALEKSBERG";40;"53°59'";"10°16'";806.3;53.98;10.27
"MALK GOEHREN";38;"53°13'";"11°22'";599.6;53.22;11.37
"MALLERSDORF/NDB.";410;"48°46'";"12°15'";637.2;48.77;12.25
"MALLISS";53;"53°12'";"11°20'";580.9;53.2;11.33
"MALSBURG-M.-FRIEDRICHSH.";852;"47°46'";"07°44'";1637.0;47.77;7.73
"MALSCH-VOELKERSBACH";385;"48°52'";"08°23'";1046.8;48.87;8.38
"MALSFELD-DAGOBERTSHAUSEN";295;"51°05'";"09°31'";670.2;51.08;9.52
"MALTER (TALSP.)";340;"50°55'";"13°39'";729.9;50.92;13.65
"MAMMING-SCHNEIDERBERG";440;"48°37'";"12°37'";696.3;48.62;12.62
"MANDELSLOH";33;"52°36'";"09°33'";683.1;52.6;9.55
"MANDERSCHEID/EIFEL";419;"50°05'";"06°48'";907.9;50.08;6.8
"MANKMUSS-BIRKHOLZ";24;"53°06'";"11°39'";585.7;53.1;11.65
"MANNHEIM (WEWA)";96;"49°30'";"08°33'";667.6;49.5;8.55
"MANSCHNOW (WEWA)";12;"52°32'";"14°32'";444.9;52.53;14.53
"MARBACH,KR.HASSBERGE";350;"50°10'";"10°41'";705.2;50.17;10.68
"MARBURG-DILSCHHAUSEN";260;"50°49'";"08°39'";728.0;50.82;8.65
"MARBURG-WEHRDA";186;"50°50'";"08°45'";755.9;50.83;8.75
"MARIAPOSCHING";315;"48°50'";"12°49'";766.7;48.83;12.82
"MARIENBERG (AWST)";639;"50°39'";"13°08'";817.7;50.65;13.13
"MARIENBERG,BAD (WEWA)";547;"50°39'";"07°57'";1168.7;50.65;7.95
"MARIENBERG-REITZENHAIN";755;"50°33'";"13°13'";909.6;50.55;13.22
"MARIENHEIDE(KLAERA.NORD)";318;"51°05'";"07°31'";1376.9;51.08;7.52
"MARIENHEIDE-MUELLENBACH";385;"51°04'";"07°34'";1433.0;51.07;7.57
"MARIENLEUCHTE/FEHMA.(BW)";5;"54°30'";"11°14'";559.1;54.5;11.23
"MARIENMUENSTER-VOERDEN";223;"51°49'";"09°13'";835.5;51.82;9.22
"MARKDORF";515;"47°43'";"09°22'";976.1;47.72;9.37
"MARKERSBACH/ERZGEB.";487;"50°32'";"12°51'";876.3;50.53;12.85
"MARKGROENINGEN";272;"48°54'";"09°04'";717.2;48.9;9.07
"MARKLKOFEN(SEEMEISTER.)";400;"48°33'";"12°34'";839.6;48.55;12.57
"MARKNEUKIRCHEN";555;"50°17'";"12°19'";766.1;50.28;12.32
"MARKSUHL";265;"50°54'";"10°12'";632.3;50.9;10.2
"MARKT BIBART";317;"49°40'";"10°23'";699.4;49.67;10.38
"MARKT EINERSHEIM";291;"49°41'";"10°17'";632.7;49.68;10.28
"MARKT ERLBACH-HAGENHOFEN";360;"49°29'";"10°37'";697.3;49.48;10.62
"MARKT ERLBACH-WILHELMSG.";418;"49°29'";"10°32'";670.2;49.48;10.53
"MARKT TASCHENDF.-OBERST.";320;"49°39'";"10°33'";694.3;49.65;10.55
"MARKT WALD";633;"48°08'";"10°34'";982.2;48.13;10.57
"MARKTGOERLITZ-KOENIGSTH.";380;"50°33'";"11°18'";759.9;50.55;11.3
"MARKTHEIDENFELD";145;"49°50'";"09°35'";738.7;49.83;9.58
"MARKTLEUGAST";581;"50°10'";"11°36'";909.3;50.17;11.6
"MARKTLEUTHEN";525;"50°07'";"12°00'";763.9;50.12;12
"MARKTOBERDORF";730;"47°46'";"10°37'";1279.6;47.77;10.62
"MARKTOBERDORF-SULZSCHN.";790;"47°43'";"10°38'";1277.8;47.72;10.63
"MARKTREDWITZ";508;"50°00'";"12°06'";731.1;50;12.1
"MARKTSCHELLENBERG";501;"47°42'";"13°02'";1785.5;47.7;13.03
"MARKTSCHELLENBG.-ETTENB.";847;"47°40'";"13°01'";2047.3;47.67;13.02
"MARLOW";40;"54°09'";"12°34'";667.6;54.15;12.57
"MARNITZ (WEWA)";81;"53°19'";"11°56'";660.9;53.32;11.93
"MAROLDSWEISACH-HAFENPRE.";314;"50°11'";"10°45'";705.9;50.18;10.75
"MARPINGEN-UREXWEILER";365;"49°25'";"07°04'";1069.2;49.42;7.07
"MARQUARDT";40;"52°27'";"12°58'";522.2;52.45;12.97
"MARQUARDT (A)";40;"52°28'";"12°58'";538.0;52.47;12.97
"MARSBERG-HELMINGHAUSEN";377;"51°22'";"08°43'";852.9;51.37;8.72
"MARSBERG-LEITMAR";380;"51°24'";"08°51'";681.6;51.4;8.85
"MARSCHACHT-ND.MARSCHACHT";4;"53°25'";"10°21'";665.9;53.42;10.35
"MARTINRODA";430;"50°44'";"10°52'";680.7;50.73;10.87
"MARWITZ (WASSERWERK)";33;"52°39'";"13°10'";549.9;52.65;13.17
"MARXZELL-SCHIELBERG";434;"48°50'";"08°27'";1324.2;48.83;8.45
"MASSBACH";326;"50°10'";"10°16'";688.1;50.17;10.27
"MASSERBERG";763;"50°31'";"10°58'";1175.6;50.52;10.97
"MAUKENDORF";126;"51°23'";"14°18'";609.9;51.38;14.3
"MAUTH";811;"48°53'";"13°35'";1220.1;48.88;13.58
"MAUTH-FINSTERAU";1004;"48°56'";"13°34'";1134.1;48.93;13.57
"MAYEN";230;"50°19'";"07°13'";596.4;50.32;7.22
"MECHELRODA";350;"50°54'";"11°22'";612.1;50.9;11.37
"MECHTERSEN";20;"53°17'";"10°19'";654.0;53.28;10.32
"MEDEBACH";402;"51°12'";"08°42'";789.8;51.2;8.7
"MEDEBACH-KUESTELBERG";660;"51°14'";"08°36'";1176.8;51.23;8.6
"MEDELBY";25;"54°48'";"09°10'";870.3;54.8;9.17
"MEDEWITZ";140;"52°04'";"12°23'";588.6;52.07;12.38
"MEEDER-OTTOWIND";436;"50°21'";"10°53'";825.2;50.35;10.88
"MEERBECK";60;"52°20'";"09°08'";708.7;52.33;9.13
"MEERSBURG";460;"47°41'";"09°16'";942.0;47.68;9.27
"MEGESHEIM";438;"48°55'";"10°40'";737.6;48.92;10.67
"MEHLTHEUER";496;"50°32'";"12°01'";597.6;50.53;12.02
"MEHREN";500;"50°11'";"06°52'";831.5;50.18;6.87
"MEHRINGEN";110;"51°43'";"11°31'";487.6;51.72;11.52
"MEINERZHAGEN";431;"51°06'";"07°38'";1452.0;51.1;7.63
"MEINERZHAGEN (A)";506;"51°05'";"07°40'";1484.0;51.08;7.67
"MEINERZHAGEN-VALBERT";392;"51°07'";"07°48'";1509.2;51.12;7.8
"MEININGEN (WEWA)";450;"50°33'";"10°22'";660.9;50.55;10.37
"MEININGEN 2";308;"50°33'";"10°24'";656.2;50.55;10.4
"MELDORF";2;"54°06'";"09°04'";826.8;54.1;9.07
"MELLE";87;"52°11'";"08°23'";775.6;52.18;8.38
"MELLE-MEESDORF";110;"52°16'";"08°23'";776.4;52.27;8.38
"MELLENTHIN";18;"53°55'";"14°00'";544.9;53.92;14
"MELLERHOEFE";102;"50°50'";"06°43'";578.6;50.83;6.72
"MELLIN";65;"52°39'";"10°59'";585.4;52.65;10.98
"MELLRICHSTADT-MUEHLFELD";308;"50°26'";"10°20'";643.5;50.43;10.33
"MELSUNGEN";190;"51°08'";"09°33'";719.1;51.13;9.55
"MELSUNGEN (A)";166;"51°08'";"09°33'";661.4;51.13;9.55
"MEMMELSDORF-LAUBEND";309;"49°57'";"10°56'";693.1;49.95;10.93
"MEMMINGEN";610;"47°59'";"10°08'";1017.0;47.98;10.13
"MENGEN,KR.SIGMARINGEN";554;"48°03'";"09°20'";823.8;48.05;9.33
"MENGERSGEREUTH-HAEMMERN";480;"50°24'";"11°07'";996.1;50.4;11.12
"MENGERSKIRCHEN";412;"50°34'";"08°09'";1049.6;50.57;8.15
"MENGKOFEN-HOFDORF";403;"48°42'";"12°24'";715.3;48.7;12.4
"MENGKOFEN-PUCHHAUSEN";370;"48°45'";"12°30'";710.7;48.75;12.5
"MENSLAGE-BORG";23;"52°40'";"07°53'";757.6;52.67;7.88
"MENZ";77;"53°06'";"13°02'";594.8;53.1;13.03
"MEPPEN (KOPPELSCHL)";14;"52°42'";"07°18'";739.4;52.7;7.3
"MERGENTHEIM,BAD-NEUNKIR.";250;"49°28'";"09°45'";709.3;49.47;9.75
"MERING";510;"48°16'";"10°59'";861.3;48.27;10.98
"MERSEBURG";100;"51°22'";"11°59'";489.4;51.37;11.98
"MERTENDORF";330;"50°59'";"11°47'";636.1;50.98;11.78
"MERTESDORF";211;"49°46'";"06°43'";760.3;49.77;6.72
"MERTINGEN-DRUISHEIM";436;"48°38'";"10°48'";724.2;48.63;10.8
"MERZIG";171;"49°27'";"06°37'";882.4;49.45;6.62
"MESCHEDE";348;"51°20'";"08°16'";983.9;51.33;8.27
"MESPELBRUNN";302;"49°55'";"09°17'";955.0;49.92;9.28
"MESSEL";178;"49°56'";"08°44'";736.3;49.93;8.73
"MESSKIRCH-ROHRDORF";644;"48°01'";"09°06'";808.3;48.02;9.1
"MESSSTETTEN-TIERINGEN";852;"48°12'";"08°53'";987.1;48.2;8.88
"METEBACH-NEUFRANKENRODA";346;"50°58'";"10°35'";586.9;50.97;10.58
"METTEN";313;"48°51'";"12°55'";972.8;48.85;12.92
"METTENHEIM";89;"49°44'";"08°19'";557.5;49.73;8.32
"METTLACH-ORSCHOLZ";385;"49°30'";"06°31'";969.2;49.5;6.52
"METTMANN";153;"51°15'";"06°58'";1008.2;51.25;6.97
"METZINGEN-NEUHAUSEN";370;"48°31'";"09°18'";887.4;48.52;9.3
"MEUSELWITZ";173;"51°02'";"12°18'";550.4;51.03;12.3
"MEYENBURG";98;"53°18'";"12°17'";518.1;53.3;12.28
"MICHELAU/OFR.-LETTENREU.";302;"50°10'";"11°09'";694.6;50.17;11.15
"MICHELAU/UFR.-NEUHAUSEN";375;"49°55'";"10°28'";723.1;49.92;10.47
"MICHELSTADT";204;"49°40'";"09°00'";914.8;49.67;9
"MICHELSTADT-STEINBUCH";322;"49°41'";"08°57'";1147.8;49.68;8.95
"MICHELSTADT-VIELBR.(NST)";380;"49°43'";"09°06'";985.4;49.72;9.1
"MICKHAUSEN";515;"48°14'";"10°38'";980.9;48.23;10.63
"MIESTE";59;"52°29'";"11°12'";547.1;52.48;11.2
"MILTENBERG";127;"49°42'";"09°13'";709.3;49.7;9.22
"MILTZOW";25;"54°12'";"13°12'";649.1;54.2;13.2
"MINDELHEIM";603;"48°03'";"10°30'";984.8;48.05;10.5
"MINDELSTETTEN";399;"48°50'";"11°37'";748.3;48.83;11.62
"MINDEN-HAHLEN";46;"52°18'";"08°50'";701.5;52.3;8.83
"MISTELGAU-HARDT";420;"49°54'";"11°25'";802.7;49.9;11.42
"MISTORF-SIEMITZ";40;"53°52'";"12°11'";556.2;53.87;12.18
"MITTBACH/OBB.";621;"48°09'";"12°01'";1101.4;48.15;12.02
"MITTELESCHENBACH-GERSB.";388;"49°13'";"10°48'";717.9;49.22;10.8
"MITTELPOELLNITZ";340;"50°45'";"11°54'";611.0;50.75;11.9
"MITTELSOEMMERN";290;"51°12'";"10°49'";553.5;51.2;10.82
"MITTENAAR-BICKEN";240;"50°41'";"08°23'";762.5;50.68;8.38
"MITTENWALD";920;"47°26'";"11°16'";1437.3;47.43;11.27
"MITTENWALDE";72;"53°11'";"13°39'";574.5;53.18;13.65
"MITTERSULZBERG";909;"47°39'";"10°36'";1300.4;47.65;10.6
"MITTWEIDA";283;"50°58'";"12°59'";668.8;50.97;12.98
"MOCHAU";122;"51°55'";"12°40'";586.0;51.92;12.67
"MOCKREHNA";102;"51°30'";"12°49'";581.8;51.5;12.82
"MODAUTAL-NEUNKIRCHEN";508;"49°44'";"08°46'";1092.8;49.73;8.77
"MOECKERN";62;"52°08'";"11°57'";503.8;52.13;11.95
"MOECKMUEHL";181;"49°19'";"09°21'";823.2;49.32;9.35
"MOEHNESEE(MOEHNETALSP.)";232;"51°29'";"08°03'";855.3;51.48;8.05
"MOELLN";42;"53°36'";"10°41'";701.1;53.6;10.68
"MOEMBRIS-NIEDERSTEINBACH";160;"50°05'";"09°08'";865.0;50.08;9.13
"MOENCHBERG";243;"49°47'";"09°15'";693.4;49.78;9.25
"MOENCHENGLADBACH";49;"51°11'";"06°27'";754.6;51.18;6.45
"MOENCHENGLADBACH";76.5;"51°08'";"06°21'";770.4;51.13;6.35
"MOENCHENHOLZHAUSEN";262;"50°58'";"11°09'";549.1;50.97;11.15
"MOENCHNEVERSDORF";115;"54°13'";"10°44'";802.3;54.22;10.73
"MOERLENBACH";175;"49°36'";"08°45'";939.8;49.6;8.75
"MOERNSHEIM";414;"48°52'";"11°00'";844.0;48.87;11
"MOERS";25;"51°27'";"06°39'";739.1;51.45;6.65
"MOERS-REPELEN";19;"51°28'";"06°36'";772.3;51.47;6.6
"MOERSDORF";340;"50°06'";"07°20'";696.7;50.1;7.33
"MOERSFELD";294;"49°44'";"07°55'";593.7;49.73;7.92
"MOESER";64;"52°13'";"11°47'";516.1;52.22;11.78
"MOETTINGEN";416;"48°48'";"10°35'";711.9;48.8;10.58
"MOISBURG";32;"53°24'";"09°41'";718.7;53.4;9.68
"MOLSCHLEBEN";300;"51°00'";"10°46'";541.2;51;10.77
"MONHEIM";495;"48°51'";"10°52'";767.8;48.85;10.87
"MONSCHAU";509;"50°34'";"06°14'";1222.3;50.57;6.23
"MONSCHAU-KALTERHERBERG";530;"50°31'";"06°12'";1386.1;50.52;6.2
"MOORENWEIS-GRUNERTSHOF.";550;"48°11'";"11°05'";944.9;48.18;11.08
"MOORMERLAND-NEERMOOR";0;"53°08'";"07°25'";804.1;53.13;7.42
"MOOSBURG/ISAR-PFROMBACH";445;"48°26'";"12°00'";819.9;48.43;12
"MOOSHUETTE";1013;"47°36'";"10°22'";1600.7;47.6;10.37
"MORGENROETHE-RAUTENKRANZ";672;"50°26'";"12°30'";1050.4;50.43;12.5
"MORINGEN";181;"51°42'";"09°53'";678.3;51.7;9.88
"MORINGEN-FREDELSLOH";271;"51°44'";"09°47'";814.4;51.73;9.78
"MORITZBURG";166;"51°10'";"13°42'";676.7;51.17;13.7
"MORSBACH";220;"50°51'";"07°42'";1175.2;50.85;7.7
"MORSUM/SYLT";10;"54°53'";"08°26'";735.3;54.88;8.43
"MOSBACH-DIEDESHEIM";200;"49°21'";"09°06'";1025.0;49.35;9.1
"MOSSAUTAL-HILTERSKLINGEN";325;"49°38'";"08°54'";1102.1;49.63;8.9
"MOTTEN";436;"50°24'";"09°46'";974.8;50.4;9.77
"MUDAU-SCHLOSSAU";470;"49°32'";"09°09'";970.0;49.53;9.15
"MUECHELN/GEISELTAL";165;"51°18'";"11°48'";509.7;51.3;11.8
"MUECKA";147;"51°19'";"14°42'";631.7;51.32;14.7
"MUECKE-RUPPERTENROD";300;"50°37'";"09°05'";889.9;50.62;9.08
"MUEDEN/ALLER-ETTENBUETT.";50;"52°30'";"10°25'";702.1;52.5;10.42
"MUEHLACKER";246;"48°56'";"08°50'";806.5;48.93;8.83
"MUEHLBERG";286;"50°52'";"10°49'";551.8;50.87;10.82
"MUEHLBERG/ELBE";90;"51°26'";"13°13'";536.7;51.43;13.22
"MUEHLDORF/INN (WEWA)";405;"48°16'";"12°30'";897.2;48.27;12.5
"MUEHLEN EICHSEN";51;"53°46'";"11°15'";598.1;53.77;11.25
"MUEHLENRADE";42;"53°36'";"10°29'";732.5;53.6;10.48
"MUEHLHAUSEN-WINDEBERG";345;"51°16'";"10°30'";628.5;51.27;10.5
"MUEHLHAUSEN/OPF-WEIHERS.";422;"49°10'";"11°28'";744.6;49.17;11.47
"MUEHLHEIM/MAIN";102;"50°07'";"08°49'";672.4;50.12;8.82
"MUEHLTROFF";490;"50°32'";"11°56'";677.1;50.53;11.93
"MUELLHEIM";273;"47°48'";"07°38'";1006.1;47.8;7.63
"MUELLROSE";42;"52°14'";"14°25'";593.4;52.23;14.42
"MUENCHBERG-STRAAS";572;"50°10'";"11°46'";926.9;50.17;11.77
"MUENCHEBERG";63;"52°31'";"14°07'";531.0;52.52;14.12
"MUENCHEN (ST.BONIFAZ)";516;"48°08'";"11°33'";994.1;48.13;11.55
"MUENCHEN-BERG AM LAIM";530;"48°07'";"11°38'";1009.9;48.12;11.63
"MUENCHEN-NYMPHENBURG";515;"48°10'";"11°30'";958.9;48.17;11.5
"MUENCHEN-OBERMENZING";522;"48°09'";"11°27'";937.5;48.15;11.45
"MUENCHEN-RIEM (FLUGWEWA)";528;"48°08'";"11°42'";966.9;48.13;11.7
"MUENCHEN-STADT (WEWA)";515;"48°09'";"11°32'";974.4;48.15;11.53
"MUENCHEN-STERNWARTE";529;"48°09'";"11°36'";968.1;48.15;11.6
"MUENCHENBERNSDORF";325;"50°49'";"11°55'";633.4;50.82;11.92
"MUENDEN-GIMTE";122;"51°26'";"09°38'";798.4;51.43;9.63
"MUENDEN-HEDEMUENDEN";135;"51°23'";"09°46'";717.0;51.38;9.77
"MUENDER,BAD";110;"52°11'";"09°28'";824.2;52.18;9.47
"MUENDER,BAD-KL.SUENTEL";168;"52°10'";"09°26'";889.6;52.17;9.43
"MUENNERSTADT";232;"50°15'";"10°11'";712.4;50.25;10.18
"MUENNERSTADT-KLEINWENKH.";278;"50°15'";"10°17'";648.9;50.25;10.28
"MUENSINGEN-APFELSTETTEN";750;"48°23'";"09°29'";963.0;48.38;9.48
"MUENSTER";62;"51°57'";"07°35'";756.8;51.95;7.58
"MUENSTER (SCHLEUSE)";57;"51°59'";"07°40'";742.3;51.98;7.67
"MUENSTEREIFEL,BAD";320;"50°32'";"06°45'";678.4;50.53;6.75
"MUENSTEREIFEL,BAD-HOUVE.";348;"50°32'";"06°54'";677.4;50.53;6.9
"MUENSTERHAUSEN";500;"48°18'";"10°27'";862.0;48.3;10.45
"MUENSTERMAIFELD";255;"50°14'";"07°21'";652.5;50.23;7.35
"MUENSTERSCHWARZACH";190;"49°48'";"10°14'";527.4;49.8;10.23
"MUENSTERTAL";456;"47°52'";"07°48'";1116.2;47.87;7.8
"MUENZENBERG-GAMBACH";155;"50°27'";"08°43'";617.2;50.45;8.72
"MUHR AM SEE";415;"49°09'";"10°42'";673.9;49.15;10.7
"MULDENBERG (TALSP.)";710;"50°24'";"12°24'";1004.6;50.4;12.4
"MULFINGEN/JAGST";294;"49°20'";"09°48'";840.7;49.33;9.8
"MULMSHORN";28;"53°10'";"09°18'";748.4;53.17;9.3
"MUNDERKINGEN";530;"48°14'";"09°39'";781.0;48.23;9.65
"MUNSTER";83;"52°59'";"10°05'";766.8;52.98;10.08
"MURNAU";622;"47°40'";"11°13'";1257.2;47.67;11.22
"MURRHARDT";344;"48°58'";"09°34'";1155.4;48.97;9.57
"MUSKAU,BAD";125;"51°34'";"14°42'";612.6;51.57;14.7
"MUTZSCHEN";182;"51°15'";"12°53'";625.6;51.25;12.88
"NABBURG";412;"49°27'";"12°10'";758.1;49.45;12.17
"NACHTERSTEDT";123;"51°49'";"11°19'";492.2;51.82;11.32
"NAGOLD";380;"48°34'";"08°43'";892.3;48.57;8.72
"NAHWINDEN";425;"50°45'";"11°09'";618.1;50.75;11.15
"NAILA";525;"50°19'";"11°42'";858.8;50.32;11.7
"NANDLSTADT";475;"48°31'";"11°50'";798.2;48.52;11.83
"NARSDORF";275;"51°00'";"12°43'";646.3;51;12.72
"NASSENFELS";401;"48°48'";"11°13'";718.4;48.8;11.22
"NASSENGRUND";216;"51°58'";"09°06'";825.6;51.97;9.1
"NAUEN";35;"52°36'";"12°51'";535.7;52.6;12.85
"NAUHEIM, BAD";142;"50°22'";"08°45'";635.6;50.37;8.75
"NAUMBURG-ALTENSTAEDT";265;"51°13'";"09°12'";657.3;51.22;9.2
"NAUMBURG/SAALE";135;"51°09'";"11°47'";542.8;51.15;11.78
"NAUNDORF B.SEYDA";100;"51°55'";"12°53'";531.9;51.92;12.88
"NECKARBISCHOFSHEIM";204;"49°18'";"08°58'";845.7;49.3;8.97
"NECKARTENZLINGEN";289;"48°35'";"09°14'";788.8;48.58;9.23
"NECKARWESTHEIM";275;"49°02'";"09°11'";813.2;49.03;9.18
"NEDLITZ";98;"52°04'";"12°14'";564.8;52.07;12.23
"NEGENBORN";140;"51°53'";"09°34'";774.3;51.88;9.57
"NEHLITZ";140;"51°34'";"11°57'";526.7;51.57;11.95
"NEHREN";421;"48°26'";"09°04'";759.6;48.43;9.07
"NEIDLINGEN";462;"48°34'";"09°34'";1155.3;48.57;9.57
"NEINSTEDT";140;"51°45'";"11°05'";525.8;51.75;11.08
"NEIPPERG";265;"49°06'";"09°03'";781.3;49.1;9.05
"NEISSEAUE";180;"51°13'";"15°00'";602.3;51.22;15
"NEMSDORF";183;"51°21'";"11°39'";497.4;51.35;11.65
"NENNDORF";80;"53°22'";"09°53'";817.3;53.37;9.88
"NENNSLINGEN";530;"49°02'";"11°07'";747.7;49.03;11.12
"NENTERSHAUSEN";295;"51°00'";"09°56'";672.2;51;9.93
"NERESHEIM-ELCHINGEN";594;"48°47'";"10°15'";930.4;48.78;10.25
"NESSELTAL B.BAYRISCHZELL";899;"47°38'";"12°02'";1570.4;47.63;12.03
"NESSELWANG";880;"47°38'";"10°30'";1560.3;47.63;10.5
"NETPHEN (LAHNHOF)";610;"50°54'";"08°15'";1127.7;50.9;8.25
"NETPHEN-HAINCHEN";395;"50°51'";"08°12'";1117.3;50.85;8.2
"NETTETAL-LOBBERICH";53;"51°18'";"06°18'";758.2;51.3;6.3
"NEU POSERIN";80;"53°33'";"12°09'";583.0;53.55;12.15
"NEU ZAUCHE";55;"51°55'";"14°05'";529.7;51.92;14.08
"NEU-ANSPACH-ANSPACH";375;"50°17'";"08°30'";850.4;50.28;8.5
"NEU-GLIENICKE";89;"53°03'";"12°45'";588.5;53.05;12.75
"NEU-ISENBURG";130;"50°02'";"08°42'";709.3;50.03;8.7
"NEU-ULM";471;"48°22'";"09°59'";759.2;48.37;9.98
"NEUALBENREUTH";545;"49°59'";"12°26'";691.7;49.98;12.43
"NEUBRANDENBURG";17;"53°34'";"13°16'";536.1;53.57;13.27
"NEUBRANDENBURG (AWST)";81;"53°32'";"13°11'";536.1;53.53;13.18
"NEUBRUECK/SPREE";42;"52°16'";"14°17'";581.9;52.27;14.28
"NEUBUKOW";25;"54°01'";"11°40'";620.5;54.02;11.67
"NEUBURG-STEINHAUSEN";28;"53°56'";"11°35'";586.6;53.93;11.58
"NEUBURG/DONAU";407;"48°43'";"11°10'";753.6;48.72;11.17
"NEUDENAU";212;"49°17'";"09°16'";785.1;49.28;9.27
"NEUDORF";425;"51°36'";"11°07'";640.3;51.6;11.12
